[Kavita] [2025-03-05 12:44:34.751 +01:00  7] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/stream/sidenav?visibleOnly=true responded 200 in 92.2878 ms
[Kavita] [2025-03-05 12:44:34.756 +01:00  43] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /api/series/recently-updated-series responded 200 in 38.6212 ms
[Kavita] [2025-03-05 12:44:34.768 +01:00  45] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /api/series/on-deck?libraryId=0&pageNumber=1&pageSize=20 responded 200 in 50.6816 ms
[Kavita] [2025-03-05 12:44:34.768 +01:00  44] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /api/series/recently-added-v2?pageNumber=1&pageSize=20 responded 200 in 42.4369 ms
[Kavita] [2025-03-05 12:44:38.065 +01:00  45] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/server/media-errors responded 200 in 33.8250 ms
[Kavita] [2025-03-05 12:44:38.076 +01:00  6] [Debug] API.Controllers.LibraryController Caching libraries for library_admin
[Kavita] [2025-03-05 12:44:38.078 +01:00  6] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/libraries responded 200 in 6.2908 ms
[Kavita] [2025-03-05 12:44:39.850 +01:00  41] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/settings/library-types responded 200 in 11.7541 ms
[Kavita] [2025-03-05 12:44:44.139 +01:00  6] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/name-exists?name= responded 400 in 26.7993 ms
[Kavita] [2025-03-05 12:44:47.347 +01:00  41] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/list responded 200 in 11.1905 ms
[Kavita] [2025-03-05 12:44:49.360 +01:00  6] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/list?path=%2Fmanga responded 200 in 13.1169 ms
[Kavita] [2025-03-05 12:44:59.083 +01:00  42] [Information] API.Controllers.LibraryController Created a new library: Manga
[Kavita] [2025-03-05 12:44:59.096 +01:00  42] [Debug] API.Services.Tasks.Scanner.LibraryWatcher [LibraryWatcher] Restarting watcher
[Kavita] [2025-03-05 12:44:59.097 +01:00  42] [Information] API.Services.Tasks.Scanner.LibraryWatcher [LibraryWatcher] Stopping watching folders
[Kavita] [2025-03-05 12:44:59.098 +01:00  42] [Information] API.Services.Tasks.Scanner.LibraryWatcher Folder watching is disabled at the server level, thus ignoring any requests to create folder watching
[Kavita] [2025-03-05 12:44:59.104 +01:00  42] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /api/library/create responded 200 in 113.3055 ms
[Kavita] [2025-03-05 12:44:59.111 +01:00  41] [Information] API.Services.TaskScheduler Enqueuing library scan for: 1
[Kavita] [2025-03-05 12:44:59.112 +01:00  6] [Debug] API.Controllers.LibraryController Caching libraries for library_admin
[Kavita] [2025-03-05 12:44:59.119 +01:00  6] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/libraries responded 200 in 7.6319 ms
[Kavita] [2025-03-05 12:44:59.127 +01:00  42] [Information] API.Services.Tasks.ScannerService [ScannerService] Beginning file scan on Manga
[Kavita] [2025-03-05 12:44:59.131 +01:00  42] [Debug] API.Services.Tasks.ScannerService [ScannerService] Library Manga Step 1: Scan & Parse Files
[Kavita] [2025-03-05 12:44:59.142 +01:00  42] [Debug] API.Services.Tasks.ScannerService [ScannerService] Library Manga Step 1.A: Process 1 folders
[Kavita] [2025-03-05 12:44:59.143 +01:00  42] [Debug] API.Services.Tasks.ScannerService 	[ScannerService] Library Manga Step 1.B: Scan files in /manga
[Kavita] [2025-03-05 12:44:59.152 +01:00  41] [Debug] API.Controllers.LibraryController Caching libraries for library_admin
[Kavita] [2025-03-05 12:44:59.153 +01:00  41] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/libraries responded 200 in 4.7038 ms
[Kavita] [2025-03-05 12:44:59.154 +01:00  42] [Debug] API.Services.Tasks.ScannerService [ScannerService] Step 1.C Found 1 directories to process for /manga
[Kavita] [2025-03-05 12:44:59.155 +01:00  42] [Debug] API.Services.Tasks.ScannerService [ProcessFiles] Performing full scan on /manga/Eromanga Sensei
[Kavita] [2025-03-05 12:44:59.160 +01:00  42] [Debug] API.Services.Tasks.ScannerService 	[ScannerService] Library Manga Step 1.C: Process files in /manga
[Kavita] [2025-03-05 12:44:59.161 +01:00  42] [Debug] API.Services.Tasks.ScannerService [ScannerService] Found 35 files for /manga/Eromanga Sensei
[Kavita] [2025-03-05 12:44:59.327 +01:00  42] [Debug] API.Services.Tasks.ScannerService 	[ScannerService] Library Manga Step 1.D: Merge any localized series with series /manga
[Kavita] [2025-03-05 12:44:59.328 +01:00  42] [Debug] API.Services.Tasks.ScannerService 	[ScannerService] Library Manga Step 1.E: Group all parsed data into logical Series
[Kavita] [2025-03-05 12:44:59.330 +01:00  42] [Debug] API.Services.Tasks.ScannerService 	[ScannerService] Library Manga Step 1.F: Generate Sort Order for Series and Finalize
[Kavita] [2025-03-05 12:44:59.337 +01:00  42] [Debug] API.Services.Tasks.ScannerService [ScannerService] Library Manga Step 2: Process and Update Database
[Kavita] [2025-03-05 12:44:59.339 +01:00  42] [Information] API.Services.Tasks.ScannerService [ScannerService] Attempting to pre-save all Genres
[Kavita] [2025-03-05 12:44:59.341 +01:00  42] [Information] API.Services.Tasks.ScannerService [ScannerService] Attempting to pre-save all Tags
[Kavita] [2025-03-05 12:44:59.343 +01:00  42] [Information] API.Services.Tasks.ScannerService [ScannerService] Found 16 Series that need processing in 209 ms
[Kavita] [2025-03-05 12:44:59.345 +01:00  42] [Information] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Beginning series update on Eromanga Sensei, Forced: false
[Kavita] [2025-03-05 12:44:59.412 +01:00  42] [Information] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Processing series Eromanga Sensei with 19 files
[Kavita] [2025-03-05 12:44:59.414 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.417 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.417 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.417 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.417 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.417 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.417 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.418 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.418 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.418 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.418 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.418 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.418 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.419 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.419 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.419 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.419 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.419 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.419 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Adding new chapter, Eromanga Sensei - Vol 100000 Ch -100000
[Kavita] [2025-03-05 12:44:59.428 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries [TIME] Kavita took 3 ms to process writer on Series: Eromanga Sensei for 0 people
[Kavita] [2025-03-05 12:44:59.431 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries Updating Eromanga Sensei FolderPath to /manga/Eromanga Sensei
[Kavita] [2025-03-05 12:44:59.431 +01:00  42] [Debug] API.Services.Tasks.Scanner.ProcessSeries Updating Eromanga Sensei LowestFolderPath to /manga/Eromanga Sensei
[Kavita] [2025-03-05 12:44:59.497 +01:00  42] [Information] API.Services.Tasks.Scanner.ProcessSeries [ScannerService] Finished series update on Eromanga Sensei in 152 ms
[Kavita] [2025-03-05 12:44:59.539 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Processing cover image generation for series: Eromanga Sensei
[Kavita] [2025-03-05 12:44:59.540 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x13-6743d13beb01563138cc436ad79ce2b2d4b88c34f81382f2d56be1ccbdfe837e.png
[Kavita] [2025-03-05 12:44:59.547 +01:00  41] [Debug] API.Controllers.LibraryController Caching libraries for library_admin
[Kavita] [2025-03-05 12:44:59.547 +01:00  41] [Information] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/library/libraries responded 200 in 3.0499 ms
[Kavita] [2025-03-05 12:44:59.611 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x5-f09eee8a3753e495f82423a9ff3ce9bc48f377e40fe6505d1a0af4fa77dc2a26.png
[Kavita] [2025-03-05 12:44:59.870 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x19-1506ca7b2b0c4a56e478321d28a8e9f18faeeffcd76a7ee25de3daae54670425.png
[Kavita] [2025-03-05 12:44:59.925 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x7-9fbdccf3c41365e077fb336d8927523b4fcb2543fe7be30619d3f86c61eb384d.png
[Kavita] [2025-03-05 12:44:59.966 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x4-eef01d6898eac284c63aaf65212031f1c16aa69c774865ed2cf812d31e4b093f.png
[Kavita] [2025-03-05 12:45:00.014 +01:00  42] [Debug] API.Services.MetadataService [MetadataService] Generating cover image for /manga/Eromanga Sensei/x11-3e12521309a7d55eb215a0b666cdbeaf46fe168428edbce56fec6dfc0627c596.png
